posto,nome,ree,sub_mer,bacia,tipo
1,CAMARGOS,10,SE,GRANDE,0
2,ITUTINGA,10,SE,GRANDE,1
6,FURNAS,10,SE,GRANDE,0
7,MASC. DE MORAES,10,SE,GRANDE,0
8,ESTREITO,10,SE,GRANDE,0
9,JAGUARA,10,SE,GRANDE,0
10,IGARAPAVA,10,SE,GRANDE,0
11,VOLTA GRANDE,10,SE,GRANDE,0
12,P COLOMBIA,10,SE,GRANDE,0
14,CACONDE,10,SE,GRANDE,0
15,EUC DA CUNHA,10,SE,GRANDE,0
16,LIMOEIRO,10,SE,GRANDE,0
17,MARIMBONDO,10,SE,GRANDE,0
18,AGUA VERMELHA,10,SE,GRANDE,0
22,BATALHA,10,SE,PARANAÍBA,0
23,CORUMBA III,10,SE,PARANAÍBA,0
24,EMBORCACAO,10,SE,PARANAÍBA,0
25,NOVA PONTE,10,SE,PARANAÍBA,0
28,CAPIM BRANCO 2,10,SE,PARANAÍBA,0
31,ITUMBIARA,10,SE,PARANAÍBA,0
32,CACH DOURADA,10,SE,PARANAÍBA,0
33,SAO SIMAO,10,SE,PARANAÍBA,0
34,ILHA SOLTEIRA,10,SE,ALTO PARANÁ,0
37,BARRA BONITA ART.,10,SE,TIETÊ,3
38,BARIRI ART.,10,SE,TIETÊ,3
39,IBITINGA ART,10,SE,TIETÊ,3
40,PROMISSAO ART.,10,SE,TIETÊ,3
42,N.AVANHANDAVA ART.,10,SE,TIETÊ,3
43,TRES IRMAOS ART.,10,SE,TIETÊ,3
44,ILHA SOLTEIRA ART.,10,SE,ALTO PARANÁ,0
45,JUPIA ART.,10,SE,ALTO PARANÁ,3
46,P.PRIMAVERA ART.,10,SE,BAIXO PARANÁ,3
47,JURUMIRIM,12,SE,PARANAPANEMA (SE),0
48,PIRAJU,12,SE,PARANAPANEMA (SE),0
49,CHAVANTES,12,SE,PARANAPANEMA (SE),0
50,LUCAS GARCEZ,12,SE,PARANAPANEMA (SE),0
51,CANOAS 2,12,SE,PARANAPANEMA (SE),0
52,CANOAS 1,12,SE,PARANAPANEMA (SE),0
55,TIBAGI MONT,11,S,PARANAPANEMA (S),0
57,MAUA,11,S,PARANAPANEMA (S),0
61,CAPIVARA,12,SE,PARANAPANEMA (SE),0
62,TAQUARUCU,12,SE,PARANAPANEMA (SE),0
63,ROSANA,12,SE,PARANAPANEMA (SE),0
66,ITAIPU ART.,5,SE,BAIXO PARANÁ,3
71,STA CLARA PR,11,S,IGUAÇU,0
72,FUNDÃO,11,S,IGUAÇU,0
73,JORDÃO NAT.,11,S,IGUAÇU,0
74,FOZ DO AREIA,11,S,IGUAÇU,0
75,SEGREDO ART.,11,S,IGUAÇU,3
76,SEGREDO NAT.,11,S,IGUAÇU,0
77,SLT SANTIAGO,11,S,IGUAÇU,0
78,SALTO OSORIO,11,S,IGUAÇU,0
81,BAIXO IGUAÇU,11,S,IGUAÇU,0
89,GARIBALDI,2,S,URUGUAI,0
92,ITÁ,2,S,URUGUAI,0
93,PASSO FUNDO ,2,S,URUGUAI,0
94,FOZ DO CHAPECÓ,2,S,URUGUAI,0
97,MONTE CLARO,2,S,JACUÍ,0
98,CASTRO ALVES,2,S,JACUÍ,0
99,ESPORA,10,SE,PARANAÍBA,0
101,SALTO PILAO,2,S,ITAJAÍ-AÇU,0
102,SÃO JOSÉ,2,S,URUGUAI,0
103,PASSO SAO JOAO,2,S,URUGUAI,0
104,TRAIÇÃO,1,SE,ALTO TIETÊ,0
109,PEDREIRA,1,SE,ALTO TIETÊ,0
110,ERNESTINA,2,S,JACUÍ,0
111,PASSO REAL  ,2,S,JACUÍ,0
112,JACUI,2,S,JACUÍ,0
113,ITAUBA,2,S,JACUÍ,0
114,D.FRANCISCA,2,S,JACUÍ,0
115,CAP.CACH.   ,2,S,CAPIVARI,0
116,PEDRAS,1,SE,ALTO TIETÊ,1
117,GUARAPIRANGA,1,SE,ALTO TIETÊ,0
118,BILLINGS,1,SE,ALTO TIETÊ,1
119,BILLINGS + PEDRAS,1,SE,ALTO TIETÊ,0
120,JAGUARI,1,SE,PARAÍBA DO SUL,0
121,PARAIBUNA,1,SE,PARAÍBA DO SUL,0
122,SANTA BRANCA,1,SE,PARAÍBA DO SUL,0
123,FUNIL,1,SE,PARAÍBA DO SUL,0
125,STA. CECILIA,1,SE,PARAÍBA DO SUL,0
126,SIMPLÍCIO ART.,1,SE,PARAÍBA DO SUL,3
127,ANTA ART.,1,SE,PARAÍBA DO SUL,3
129,ANTA NAT.,1,SE,PARAÍBA DO SUL,1
130,ILHA POMBOS NAT.,1,SE,PARAÍBA DO SUL,0
131,NILO PEÇANHA ART.,1,SE,PARAÍBA DO SUL,3
132,LAJES ART.,1,SE,PARAÍBA DO SUL,3
134,SALTO GRANDE,1,SE,DOCE,0
141,BAGUARI,1,SE,DOCE,0
144,MASCARENHAS,1,SE,DOCE,0
145,RONDON 2,6,SE,AMAZONAS (SE),0
148,AIMORÉS,1,SE,DOCE,0
149,CANDONGA,1,SE,DOCE,0
154,ITAPEBI,1,SE,SÃO FRANCISCO (SE),0
155,RETIRO BAIXO,1,SE,SÃO FRANCISCO (SE),0
156,TRES MARIAS,1,SE,SÃO FRANCISCO (SE),0
158,QUEIMADO,1,SE,SÃO FRANCISCO (SE),0
160,PONTE NOVA,1,SE,ALTO TIETÊ,0
161,E. DE SOUZA,1,SE,ALTO TIETÊ,0
166,ITAIPU FIC.,5,SE,BAIXO PARANÁ,0
168,INCR.3M/SBD,3,NE,SÃO FRANCISCO (NE),0
169,SOBRADINHO,3,NE,SÃO FRANCISCO (NE),0
171,ITAPARICA INCREMENTAL,3,NE,SÃO FRANCISCO (NE),0
172,ITAPARICA,3,NE,SÃO FRANCISCO (NE),0
173,MOXOTÓ,3,NE,SÃO FRANCISCO (NE),0
175,PAULO AFONSO,3,NE,SÃO FRANCISCO (NE),0
176,COMPLEXO,3,NE,SÃO FRANCISCO (NE),3
178,XINGÓ,3,NE,SÃO FRANCISCO (NE),0
183,A. DIAS + SÁ CARVALHO,1,SE,DOCE,0
188,ITAPEBI,3,NE,JEQUITINHONHA (NE),0
190,B. ESPERANCA,3,NE,PARNAÍBA,0
191,CANA BRAVA,1,SE,TOCANTINS (SE),0
196,ROSAL,1,SE,ITABAPOANA,0
197,PICADA,1,SE,PARAÍBA DO SUL,0
198,SOBRAGI,1,SE,PARAÍBA DO SUL,0
201,TOCOS,1,SE,PARAÍBA DO SUL,0
202,LAJES NAT.,1,SE,PARAÍBA DO SUL,1
203,SANTANA NAT.,1,SE,PARAÍBA DO SUL,1
204,CACHOEIRA CALD.,9,N,AMAZONAS (N),1
205,CORUMBA IV,10,SE,PARANAÍBA,0
206,MIRANDA,10,SE,PARANAÍBA,0
207,CAPIM BRANCO 1,10,SE,PARANAÍBA,0
209,CORUMBA I,10,SE,PARANAÍBA,0
211,FUNIL-GRANDE,10,SE,GRANDE,0
215,BARRA GRANDE,2,S,URUGUAI,0
216,CAMPOS NOVOS,2,S,URUGUAI,0
217,MACHADINHO,2,S,URUGUAI,0
