posto,prod
001,"0,1971"
002,"0,2447"
006,"0,7726"
007,"0,3337"
008,"0,5627"
009,"0,4043"
010,"0,1525"
011,"0,2472"
012,"0,2038"
014,"0,8146"
015,"0,7461"
016,"0,2064"
017,"0,4939"
018,"0,4710"
022,"0,3502"
023,"0,3621"
024,"1,1027"
025,"1,0025"
028,"0,4018"
031,"0,6813"
032,"0,2826"
033,"0,6241"
034,"0,3901"
037,"0,1723"
038,"0,1881"
039,"0,1872"
040,"0,2059"
042,"0,2601"
043,"0,3997"
045,"0,1900"
046,"0,1698"
047,"0,2926"
048,"0,2296"
049,"0,6509"
050,"0,1497"
051,"0,1289"
052,"0,1509"
057,"1,0462"
061,"0,3978"
062,"0,2243"
063,"0,1863"
066,"1,0342"
071,"0,8133"
072,"0,8299"
073,"0,0000"
074,"1,1477"
075,"1,0242"
077,"0,9233"
078,"0,6307"
081,"0,1472"
89,"0,3848"
092,"0,9186"
093,"2,2427"
094,"0,4589"
097,"0,3601"
098,"0,7585"
099,"0,3995"
101,"1,7836"
102,"0,1985"
103,"0,2629"
110,"0,0000"
111,"0,3797"
112,"0,8282"
113,"0,8259"
114,"0,3432"
115,"6,5259"
120,"0,5046"
121,"0,7003"
122,"0,3524"
123,"0,5327"
126,"0,9275"
131,"2,6330"
134,"0,7829"
141,"0,1623"
144,"0,1808"
145,"0,5368"
148,"0,2471"
149,"0,4664"
154,"0,3055"
155,"0,3261"
156,"0,4301"
158,"1,6039"
169,"0,2410"
172,"0,4479"
176,"1,0201"
178,"1,0846"
183,"0,9375"
188,"0,7177"
190,"0,3717"
191,"0,3990"
196,"1,6950"
197,"1,1054"
198,"0,6252"
204,"0,1405"
205,"0,6226"
206,"0,6143"
207,"0,5036"
209,"0,6106"
211,"0,3457"
215,"1,3896"
216,"1,6244"
217,"0,9187"
220,"0,5555"
222,"0,5930"
227,"0,2353"
228,"0,2039"
229,"0,4940"
230,"0,2179"
241,"0,3657"
247,"0,2452"
248,"0,3347"
249,"0,0944"
251,"0,6429"
252,"1,2441"
253,"0,2117"
254,"0,9235"
255,"1,4926"
257,"0,2414"
259,"0,7642"
261,"0,2480"
262,"1,0242"
263,"0,4242"
269,"0,2048"
270,"1,0315"
271,"0,2004"
273,"0,3248"
275,"0,5482"
277,"0,1641"
278,"0,5145"
279,"0,2505"
280,"0,1794"
281,"2,2355"
283,"0,4584"
284,"0,3061"
285,"0,1529"
286,"1,0522"
287,"0,1440"
288,"0,0000"
290,"0,2339"
291,"0,8689"
292,"0,8032"
294,"0,4492"
295,"0,9182"
296,"1,4108"
297,"0,1611"
299,"0,2588"
302,"0,1163"
303,"2,5295"
306,"0,3140"
318,"5,6537"
