posto,base,1,2,3,4,5,6,7,8,9,10,11,12
2,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
7,6,1.115,1.126,1.127,1.129,1.125,1.117,1.117,1.116,1.108,1.109,1.103,1.104
8,6,1.140,1.157,1.159,1.165,1.157,1.147,1.145,1.143,1.130,1.131,1.123,1.122
9,6,1.149,1.170,1.172,1.182,1.170,1.158,1.158,1.155,1.139,1.141,1.130,1.127
10,6,1.177,1.207,1.210,1.225,1.208,1.195,1.192,1.190,1.165,1.165,1.152,1.147
11,6,1.242,1.286,1.291,1.317,1.291,1.272,1.267,1.261,1.229,1.227,1.208,1.200
12,6,1.402,1.470,1.481,1.523,1.483,1.452,1.438,1.431,1.380,1.380,1.356,1.343
15,14,1.635,1.633,1.640,1.610,1.628,1.639,1.655,1.708,1.680,1.613,1.600,1.623
16,14,1.667,1.663,1.663,1.644,1.651,1.667,1.690,1.708,1.680,1.645,1.625,1.652
22,24,0.213,0.218,0.232,0.241,0.241,0.240,0.233,0.229,0.225,0.219,0.220,0.221
23,205,1.245,1.242,1.240,1.229,1.221,1.217,1.208,1.213,1.222,1.241,1.239,1.244
28,25,1.212,1.223,1.224,1.245,1.241,1.247,1.252,1.280,1.281,1.257,1.235,1.216
32,31,1.047,1.050,1.050,1.053,1.055,1.056,1.060,1.062,1.063,1.054,1.048,1.046
48,47,1.021,1.025,1.026,1.023,1.026,1.029,1.022,1.027,1.025,1.026,1.022,1.026
49,47,1.551,1.488,1.452,1.482,1.569,1.573,1.573,1.561,1.609,1.613,1.565,1.521
50,47,2.012,1.951,1.946,2.036,2.133,2.121,2.101,2.115,2.137,2.105,2.081,2.013
51,47,2.042,1.986,1.984,2.082,2.174,2.165,2.146,2.162,2.174,2.141,2.124,2.051
52,47,2.114,2.060,2.064,2.173,2.267,2.257,2.230,2.250,2.261,2.225,2.210,2.128
55,57,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660,0.660
62,63,0.905,0.903,0.891,0.888,0.893,0.890,0.889,0.881,0.891,0.891,0.885,0.894
72,71,1.048,1.044,1.045,1.048,1.046,1.048,1.046,1.048,1.048,1.049,1.045,1.047
76,74,1.136,1.144,1.120,1.177,1.174,1.155,1.141,1.119,1.145,1.145,1.135,1.108
78,77,1.042,1.040,1.045,1.046,1.050,1.049,1.047,1.046,1.041,1.052,1.054,1.048
81,77,1.397,1.392,1.395,1.460,1.512,1.506,1.458,1.458,1.429,1.469,1.478,1.450
89,216,0.925,0.910,0.920,0.904,0.897,0.909,0.922,0.909,0.906,0.899,0.916,0.913
94,92,1.211,1.183,1.205,1.228,1.236,1.256,1.240,1.226,1.207,1.218,1.255,1.258
97,98,1.722,1.712,1.574,1.871,1.922,1.817,1.837,1.752,1.835,1.939,1.805,1.833
103,102,1.042,1.033,1.048,1.032,1.027,1.048,1.033,1.037,1.037,1.037,1.036,1.042
110,111,0.158,0.160,0.150,0.147,0.146,0.138,0.147,0.148,0.139,0.146,0.144,0.142
112,111,1.007,1.008,1.009,1.014,1.010,1.008,1.007,1.007,1.006,1.006,1.005,1.011
113,111,1.252,1.256,1.271,1.287,1.283,1.279,1.294,1.269,1.282,1.279,1.297,1.256
114,111,1.518,1.552,1.579,1.636,1.571,1.623,1.629,1.550,1.553,1.546,1.550,1.517
116,117,0.330,0.269,0.605,0.374,0.167,0.357,0.451,0.500,0.314,0.562,0.173,0.322
118,119,0.822,0.812,0.763,0.806,0.857,0.750,0.802,0.833,0.774,0.800,0.773,0.823
122,121,1.140,1.161,1.194,1.155,1.160,1.203,1.094,1.139,1.174,1.144,1.132,1.178
123,125,0.778,0.801,0.802,0.821,0.738,0.843,0.812,0.800,0.793,0.790,0.736,0.766
129,130,0.917,0.924,0.921,0.935,0.938,0.923,0.923,0.932,0.921,0.915,0.912,0.920
141,144,0.559,0.586,0.590,0.598,0.618,0.629,0.629,0.635,0.643,0.617,0.580,0.554
148,144,0.859,0.862,0.862,0.862,0.863,0.867,0.867,0.869,0.873,0.869,0.862,0.858
155,156,0.210,0.181,0.172,0.160,0.193,0.240,0.176,0.200,0.219,0.169,0.174,0.171
183,262,1.094,1.097,1.087,1.095,1.089,1.083,1.095,1.081,1.108,1.085,1.091,1.093
191,270,1.110,1.107,1.097,1.097,1.121,1.116,1.135,1.140,1.131,1.108,1.102,1.103
198,197,1.767,1.963,1.807,1.913,1.670,1.594,1.775,1.772,2.012,2.027,1.864,1.878
