posto,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01
1,90,116,148,189,208,170
2,90,116,148,189,208,170
6,630,871,1066,1141,1345,1118
7,761,971,1188,1273,1500,1259
8,796,993,1215,1301,1534,1293
9,815,1001,1224,1311,1546,1308
10,860,1025,1254,1343,1583,1349
11,934,1082,1323,1417,1671,1437
12,1052,1221,1494,1600,1886,1643
14,33,48,47,58,61,89
15,54,79,77,95,100,146
16,55,80,79,97,102,148
17,1434,1622,2109,2210,2270,2236
18,1845,2039,2038,2713,2830,3086
22,50,57,74,92,93,87
23,82,89,99,138,141,182
24,204,266,347,432,435,398
25,152,217,268,310,393,364
28,168,263,324,375,476,445
31,758,901,1141,1287,1517,1634
32,828,943,1194,1348,1588,1716
33,1675,2060,2591,3014,3147,3295
34,4412,5509,6212,7227,7483,7936
47,154,186,203,248,219,296
48,159,190,208,254,224,304
49,221,288,315,385,340,441
50,279,374,409,500,441,578
51,286,379,415,507,447,588
52,297,393,430,525,463,610
57,202,249,282,310,298,336
61,704,661,879,1063,1076,1364
62,763,901,1017,1381,1174,1230
63,884,995,1124,1526,1297,1362
71,44,56,63,65,82,76
72,46,59,66,68,86,80
73,57,70,78,81,107,96
74,245,321,336,489,557,422
76,281,367,384,558,635,476
77,401,364,446,554,660,671
78,397,379,464,577,687,697
81,532,508,623,773,921,933
89,63,89,120,110,148,164
92,239,324,410,505,688,560
93,11,13,18,22,28,20
94,327,392,496,611,833,663
97,74,90,115,123,108,115
98,43,51,66,71,62,68
99,79,82,85,86,87,89
101,71,78,83,85,124,110
102,100,111,120,121,103,108
103,104,116,124,126,107,112
104,15,17,21,35,35,29
109,8,9,12,17,18,17
110,17,18,18,17,17,15
111,107,114,116,106,105,96
112,108,115,117,106,106,96
113,134,143,146,132,132,120
114,162,174,177,160,160,148
115,14,17,18,17,22,25
116,2,2,3,5,5,3
117,7,8,9,18,17,12
118,8,9,12,17,18,17
119,10,12,16,21,23,22
120,25,34,36,33,34,31
121,78,84,94,97,102,96
122,91,99,111,114,120,114
123,308,326,345,383,381,368
125,406,430,454,502,500,476
129,992,975,1019,1003,1058,970
130,1061,1042,1090,1072,1132,1030
134,156,157,163,214,182,153
141,408,526,571,650,719,744
144,731,942,1021,1162,1286,1269
145,106,118,126,121,132,126
148,628,809,877,999,1104,1094
149,150,175,218,207,221,184
154,263,291,302,268,258,239
155,63,170,193,204,264,193
156,454,694,806,858,1145,863
158,15,18,25,31,33,35
160,4,7,9,7,8,12
161,52,92,147,154,173,139
166,5011,5228,4869,4884,4543,4352
168,1432,1361,1805,2197,2249,2369
169,2531,2048,2269,2909,3080,3258
171,0,0,0,0,0,0
172,2531,2048,2269,2909,3080,3258
173,2531,2048,2269,2909,3080,3258
175,2531,2048,2269,2909,3080,3258
178,2531,2048,2269,2909,3080,3258
183,94,107,134,129,165,106
188,90,114,133,152,274,260
190,242,314,349,382,432,409
191,288,408,578,850,1155,1099
196,56,56,51,56,73,51
197,55,52,59,60,63,57
198,119,113,126,128,133,121
201,15,15,16,18,20,19
202,5,6,6,7,9,7
203,22,22,24,27,30,28
204,692,780,1025,1055,1215,1109
205,68,71,79,110,113,147
206,161,250,308,356,451,419
207,163,254,313,362,459,427
209,211,285,277,380,391,378
211,215,305,345,409,443,414
215,40,59,109,117,193,126
216,70,97,130,120,160,177
217,166,238,301,371,506,414
220,19,22,27,26,37,32
222,493,470,576,716,853,864
227,984,1149,1290,1413,1517,1544
228,1068,1248,1401,1535,1648,1683
229,2496,2915,3273,3586,3851,4106
230,2519,2941,3303,3619,3886,4143
237,212,233,358,525,457,605
238,265,277,407,569,513,655
239,359,363,502,655,621,752
240,469,480,668,838,799,902
241,229,252,267,258,289,268
242,513,526,734,910,869,961
243,491,580,794,966,921,1016
244,4903,6089,7006,8193,8404,8952
245,5486,6694,7672,8850,9073,9613
246,7215,8608,9657,10612,10769,11185
247,223,246,278,260,284,303
248,232,256,289,270,295,315
249,225,291,319,390,344,445
251,81,94,123,153,154,142
252,80,86,100,104,109,93
253,374,500,680,967,1290,1238
254,6,12,13,19,29,33
255,56,112,182,334,199,150
257,493,693,1031,1403,2008,2283
259,80,86,100,104,109,93
261,248,275,310,290,316,337
262,86,98,122,118,151,96
263,163,163,170,223,190,160
266,10565,11978,12754,14140,14023,14668
269,972,820,794,798,914,897
270,252,360,513,758,1033,982
271,1464,1916,2396,3209,4332,5514
273,952,1220,1671,2166,2974,3520
275,4051,5100,6077,7402,9320,11166
277,139,142,168,174,180,199
278,177,285,313,343,451,278
279,630,620,690,716,719,747
280,693,782,1027,1057,1218,1112
281,87,90,91,93,99,97
283,20,25,32,41,50,48
284,77,92,119,127,111,119
286,34,42,47,48,48,55
287,23677,25364,26996,28994,30216,31341
288,3439,4127,5234,7021,8324,10349
290,625,634,768,862,945,982
291,487,540,601,634,661,727
294,210,231,245,237,265,246
295,84,83,87,88,90,88
296,38,42,43,43,44,43
297,699,789,1036,1066,1229,1122
301,8,9,12,17,18,17
320,10,12,16,21,23,22
